benchmark-broker-runtime=Confluent Local 7.5.0-ccs
goos: darwin
goarch: arm64
pkg: github.com/faustbrian/golib/pkg/kafka/benchmarks/clients
cpu: Apple M4 Max
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/128B/none/golib-policy-16         	      10	  16603292 ns/op	   0.08 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   29818 B/op	     315 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/1024B/none/raw-franz-go-16        	      10	   1106758 ns/op	   7.64 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   25836 B/op	     206 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/1024B/none/raw-franz-go-16        	      10	   1120900 ns/op	   7.54 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   25308 B/op	     200 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/1024B/none/raw-franz-go-16        	      10	    786421 ns/op	  10.75 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   25920 B/op	     207 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/1024B/none/raw-franz-go-16        	      10	   1695658 ns/op	   4.99 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   24292 B/op	     200 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/1024B/none/raw-franz-go-16        	      10	    715367 ns/op	  11.82 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   29348 B/op	     211 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/1024B/none/raw-franz-go-16        	      10	    629979 ns/op	  13.42 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   29316 B/op	     211 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/1024B/none/raw-franz-go-16        	      10	   1013888 ns/op	   8.34 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   26951 B/op	     209 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/1024B/none/raw-franz-go-16        	      10	    740242 ns/op	  11.42 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   28530 B/op	     212 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/1024B/none/raw-franz-go-16        	      10	    839063 ns/op	  10.08 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   29140 B/op	     211 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/1024B/none/raw-franz-go-16        	      10	   1078004 ns/op	   7.84 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   28196 B/op	     211 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/1024B/none/raw-franz-go-16        	      10	    801383 ns/op	  10.55 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   29598 B/op	     212 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/1024B/none/raw-franz-go-16        	      10	    747933 ns/op	  11.31 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   29445 B/op	     211 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/1024B/none/raw-franz-go-16        	      10	   1097117 ns/op	   7.71 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   24984 B/op	     205 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/1024B/none/raw-franz-go-16        	      10	    981484 ns/op	   8.62 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   27657 B/op	     211 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/1024B/none/raw-franz-go-16        	      10	    723733 ns/op	  11.68 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   28437 B/op	     212 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/1024B/snappy/golib-policy-16      	      10	   1541721 ns/op	   5.48 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   36206 B/op	     309 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/1024B/snappy/golib-policy-16      	      10	   1184184 ns/op	   7.14 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   39890 B/op	     321 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/1024B/snappy/golib-policy-16      	      10	   4156071 ns/op	   2.03 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   35936 B/op	     308 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/1024B/snappy/golib-policy-16      	      10	   2501904 ns/op	   3.38 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   32805 B/op	     299 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/1024B/snappy/golib-policy-16      	      10	   1398050 ns/op	   6.05 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   37107 B/op	     310 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/1024B/snappy/golib-policy-16      	      10	   2011392 ns/op	   4.20 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   39668 B/op	     321 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/1024B/snappy/golib-policy-16      	      10	    849891 ns/op	   9.95 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   38177 B/op	     315 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/1024B/snappy/golib-policy-16      	      10	   1497892 ns/op	   5.65 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   36255 B/op	     308 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/1024B/snappy/golib-policy-16      	      10	   1799746 ns/op	   4.70 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   35994 B/op	     306 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/1024B/snappy/golib-policy-16      	      10	   2221929 ns/op	   3.81 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   40207 B/op	     321 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/1024B/snappy/golib-policy-16      	      10	   2140438 ns/op	   3.95 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   40471 B/op	     321 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/1024B/snappy/golib-policy-16      	      10	   1516842 ns/op	   5.57 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   40592 B/op	     321 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/1024B/snappy/golib-policy-16      	      10	   1780979 ns/op	   4.75 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   40479 B/op	     321 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/1024B/snappy/golib-policy-16      	      10	   1845633 ns/op	   4.58 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   37750 B/op	     314 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/1024B/snappy/golib-policy-16      	      10	   1200167 ns/op	   7.05 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   40487 B/op	     321 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/1024B/snappy/golib-policy-16      	      10	   1452279 ns/op	   5.82 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   40487 B/op	     321 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/1024B/snappy/golib-policy-16      	      10	   1071342 ns/op	   7.89 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   40664 B/op	     322 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/1024B/snappy/golib-policy-16      	      10	   2093300 ns/op	   4.04 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   36510 B/op	     308 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/1024B/snappy/golib-policy-16      	      10	   1578438 ns/op	   5.36 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   39747 B/op	     320 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/1024B/snappy/golib-policy-16      	      10	    847334 ns/op	   9.98 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   40576 B/op	     322 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/1024B/snappy/raw-franz-go-16      	      10	   1389200 ns/op	   6.09 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   29113 B/op	     206 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/1024B/snappy/raw-franz-go-16      	      10	   2090233 ns/op	   4.05 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   32704 B/op	     220 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/1024B/snappy/raw-franz-go-16      	      10	    656067 ns/op	  12.89 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   32724 B/op	     219 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/1024B/snappy/raw-franz-go-16      	      10	    988529 ns/op	   8.55 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   33646 B/op	     219 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/1024B/snappy/raw-franz-go-16      	      10	   1570221 ns/op	   5.39 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   33135 B/op	     219 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/1024B/snappy/raw-franz-go-16      	      10	    659637 ns/op	  12.82 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   33678 B/op	     219 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/1024B/snappy/raw-franz-go-16      	      10	    759054 ns/op	  11.14 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   33270 B/op	     219 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/1024B/snappy/raw-franz-go-16      	      10	    619250 ns/op	  13.66 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   30814 B/op	     213 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/1024B/snappy/raw-franz-go-16      	      10	   1978233 ns/op	   4.27 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   28359 B/op	     206 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/1024B/snappy/raw-franz-go-16      	      10	   1259833 ns/op	   6.71 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   30557 B/op	     213 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/1024B/snappy/raw-franz-go-16      	      10	   1573583 ns/op	   5.37 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   29577 B/op	     210 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/1024B/snappy/raw-franz-go-16      	      10	   4974813 ns/op	   1.70 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   25946 B/op	     194 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/1024B/snappy/raw-franz-go-16      	      10	    875746 ns/op	   9.66 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   30914 B/op	     213 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/1024B/snappy/raw-franz-go-16      	      10	   1263637 ns/op	   6.69 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   31196 B/op	     217 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/1024B/snappy/raw-franz-go-16      	      10	    719096 ns/op	  11.76 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   33236 B/op	     219 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/1024B/snappy/raw-franz-go-16      	      10	    703962 ns/op	  12.01 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   34416 B/op	     220 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/1024B/snappy/raw-franz-go-16      	      10	   1484475 ns/op	   5.70 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   32420 B/op	     220 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/1024B/snappy/raw-franz-go-16      	      10	   1815962 ns/op	   4.66 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   32640 B/op	     219 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/1024B/snappy/raw-franz-go-16      	      10	   1704596 ns/op	   4.96 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   31338 B/op	     218 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/sequential/1024B/snappy/raw-franz-go-16      	      10	   1457338 ns/op	   5.80 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   31232 B/op	     213 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/parallel/128B/none/golib-policy-16           	      10	   2017862 ns/op	   0.64 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   29248 B/op	     318 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/parallel/128B/none/golib-policy-16           	      10	    789963 ns/op	   1.63 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   30578 B/op	     324 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/parallel/128B/none/golib-policy-16           	      10	    739258 ns/op	   1.74 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   30996 B/op	     324 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/parallel/128B/none/golib-policy-16           	      10	   1294971 ns/op	   0.99 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   30507 B/op	     324 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/parallel/128B/none/golib-policy-16           	      10	   1504392 ns/op	   0.86 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   29024 B/op	     317 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/parallel/128B/none/golib-policy-16           	      10	   2162971 ns/op	   0.60 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   29724 B/op	     318 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/parallel/128B/none/golib-policy-16           	      10	    804537 ns/op	   1.60 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   31280 B/op	     326 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/parallel/128B/none/golib-policy-16           	      10	    837825 ns/op	   1.54 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   30876 B/op	     324 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/parallel/128B/none/golib-policy-16           	      10	    873371 ns/op	   1.47 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   30488 B/op	     324 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/parallel/128B/none/golib-policy-16           	      10	    901775 ns/op	   1.43 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   31256 B/op	     322 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/parallel/128B/none/golib-policy-16           	      10	   1140988 ns/op	   1.13 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   31523 B/op	     325 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/parallel/128B/none/golib-policy-16           	      10	   1101079 ns/op	   1.17 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   30142 B/op	     321 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/parallel/128B/none/golib-policy-16           	      10	   1432979 ns/op	   0.90 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   30675 B/op	     325 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/parallel/128B/none/golib-policy-16           	      10	    857821 ns/op	   1.50 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   30428 B/op	     323 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/parallel/128B/none/golib-policy-16           	      10	    922304 ns/op	   1.40 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   30883 B/op	     325 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/parallel/128B/none/golib-policy-16           	      10	   1256721 ns/op	   1.02 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   29675 B/op	     320 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/parallel/128B/none/golib-policy-16           	      10	   1505616 ns/op	   0.86 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   30651 B/op	     323 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/parallel/128B/none/golib-policy-16           	      10	   1701742 ns/op	   0.76 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   28334 B/op	     307 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/parallel/128B/none/golib-policy-16           	      10	    737625 ns/op	   1.75 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   30868 B/op	     324 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/parallel/128B/none/golib-policy-16           	      10	    753850 ns/op	   1.71 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   29709 B/op	     323 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/parallel/128B/none/raw-franz-go-16           	      10	    777187 ns/op	   1.66 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   23043 B/op	     218 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/parallel/128B/none/raw-franz-go-16           	      10	    754183 ns/op	   1.71 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   23073 B/op	     219 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/parallel/128B/none/raw-franz-go-16           	      10	    683471 ns/op	   1.88 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   22839 B/op	     218 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/parallel/128B/none/raw-franz-go-16           	      10	    671221 ns/op	   1.92 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   22892 B/op	     218 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/parallel/128B/none/raw-franz-go-16           	      10	    802250 ns/op	   1.61 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   22796 B/op	     218 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/parallel/128B/none/raw-franz-go-16           	      10	    694158 ns/op	   1.86 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   23156 B/op	     222 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/parallel/128B/none/raw-franz-go-16           	      10	   1360646 ns/op	   0.95 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   22661 B/op	     219 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/parallel/128B/none/raw-franz-go-16           	      10	   1193558 ns/op	   1.08 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   22163 B/op	     213 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/parallel/128B/none/raw-franz-go-16           	      10	   1536742 ns/op	   0.84 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   22350 B/op	     218 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/parallel/128B/none/raw-franz-go-16           	      10	    851696 ns/op	   1.51 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   23204 B/op	     220 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/parallel/128B/none/raw-franz-go-16           	      10	    797288 ns/op	   1.62 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   22790 B/op	     218 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/parallel/128B/none/raw-franz-go-16           	      10	    760504 ns/op	   1.69 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   23320 B/op	     220 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/parallel/128B/none/raw-franz-go-16           	      10	    555992 ns/op	   2.32 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   23335 B/op	     220 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/parallel/128B/none/raw-franz-go-16           	      10	    560833 ns/op	   2.30 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   22829 B/op	     221 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/parallel/128B/none/raw-franz-go-16           	      10	    528304 ns/op	   2.44 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   23362 B/op	     220 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/parallel/128B/none/raw-franz-go-16           	      10	    667583 ns/op	   1.93 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   23318 B/op	     220 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/parallel/128B/none/raw-franz-go-16           	      10	    614308 ns/op	   2.10 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   23413 B/op	     220 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/parallel/128B/none/raw-franz-go-16           	      10	   1212304 ns/op	   1.06 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   21429 B/op	     208 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/parallel/128B/none/raw-franz-go-16           	      10	    876767 ns/op	   1.47 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   22707 B/op	     218 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/parallel/128B/none/raw-franz-go-16           	      10	    846312 ns/op	   1.52 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   22348 B/op	     218 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/parallel/128B/snappy/golib-policy-16         	      10	    933258 ns/op	   1.38 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   30607 B/op	     327 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/parallel/128B/snappy/golib-policy-16         	      10	    892204 ns/op	   1.44 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   29944 B/op	     322 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/parallel/128B/snappy/golib-policy-16         	      10	    828796 ns/op	   1.55 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   30726 B/op	     324 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/parallel/128B/snappy/golib-policy-16         	      10	   1071846 ns/op	   1.20 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   30420 B/op	     323 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/parallel/128B/snappy/golib-policy-16         	      10	    944475 ns/op	   1.36 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   30152 B/op	     325 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/parallel/128B/snappy/golib-policy-16         	      10	    859746 ns/op	   1.50 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   30254 B/op	     323 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/parallel/128B/snappy/golib-policy-16         	      10	    944825 ns/op	   1.36 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   30708 B/op	     325 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/parallel/128B/snappy/golib-policy-16         	      10	    583796 ns/op	   2.21 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   31088 B/op	     325 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/parallel/128B/snappy/golib-policy-16         	      10	    772800 ns/op	   1.67 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   30659 B/op	     323 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/parallel/128B/snappy/golib-policy-16         	      10	    973021 ns/op	   1.32 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   27880 B/op	     307 allocs/op
BenchmarkEquivalentCrossPartitionConsumerHandling/parallel/128B/snappy/golib-policy-16         	      10	   1882462 ns/op	   0.68 MB/s	         1.000 commits/op	       256.0 handler-rounds/record	         8.000 partitions/op	         8.000 records/op	   29856 B/op	     318 allocs/op
