specification	assertion	requirement	source
wsdl-2.0-adjuncts	SOAPBindingFault-2072	WSDL20-SOAP-001	https://www.w3.org/TR/2007/REC-wsdl20-adjuncts-20070626/#SOAPBindingFault-2072
wsdl-2.0-adjuncts	SOAPHeaderBlock-2077	WSDL20-SOAP-001	https://www.w3.org/TR/2007/REC-wsdl20-adjuncts-20070626/#SOAPHeaderBlock-2077
wsdl-2.0-adjuncts	SOAPHeaderBlock-2078	WSDL20-SOAP-001	https://www.w3.org/TR/2007/REC-wsdl20-adjuncts-20070626/#SOAPHeaderBlock-2078
wsdl-2.0-adjuncts	SOAPHTTPProperties-2064	WSDL20-SOAP-001	https://www.w3.org/TR/2007/REC-wsdl20-adjuncts-20070626/#SOAPHTTPProperties-2064
wsdl-2.0-adjuncts	SOAPMEP-2074	WSDL20-SOAP-001	https://www.w3.org/TR/2007/REC-wsdl20-adjuncts-20070626/#SOAPMEP-2074
wsdl-2.0-adjuncts	SOAPMEPDefault-2073	WSDL20-SOAP-001	https://www.w3.org/TR/2007/REC-wsdl20-adjuncts-20070626/#SOAPMEPDefault-2073
wsdl-2.0-adjuncts	SOAPMEPSelection-2080	WSDL20-SOAP-001	https://www.w3.org/TR/2007/REC-wsdl20-adjuncts-20070626/#SOAPMEPSelection-2080
wsdl-2.0-adjuncts	WRPC-2042	WSDL20-STYLE-001	https://www.w3.org/TR/2007/REC-wsdl20-adjuncts-20070626/#WRPC-2042
wsdl-2.0-adjuncts	WRPC-2043	WSDL20-STYLE-001	https://www.w3.org/TR/2007/REC-wsdl20-adjuncts-20070626/#WRPC-2043
wsdl-2.0-adjuncts	WRPC-2044	WSDL20-STYLE-001	https://www.w3.org/TR/2007/REC-wsdl20-adjuncts-20070626/#WRPC-2044
wsdl-2.0-adjuncts	WRPC-2045	WSDL20-STYLE-001	https://www.w3.org/TR/2007/REC-wsdl20-adjuncts-20070626/#WRPC-2045
wsdl-2.0-adjuncts	WRPC-2046	WSDL20-STYLE-001	https://www.w3.org/TR/2007/REC-wsdl20-adjuncts-20070626/#WRPC-2046
wsdl-2.0-adjuncts	WRPC-2047	WSDL20-STYLE-001	https://www.w3.org/TR/2007/REC-wsdl20-adjuncts-20070626/#WRPC-2047
wsdl-2.0-adjuncts	WRPC-2048	WSDL20-STYLE-001	https://www.w3.org/TR/2007/REC-wsdl20-adjuncts-20070626/#WRPC-2048
wsdl-2.0-adjuncts	WRPC-2049	WSDL20-STYLE-001	https://www.w3.org/TR/2007/REC-wsdl20-adjuncts-20070626/#WRPC-2049
wsdl-2.0-adjuncts	WRPC-2050	WSDL20-STYLE-001	https://www.w3.org/TR/2007/REC-wsdl20-adjuncts-20070626/#WRPC-2050
