benchmark-broker-runtime=Confluent Local 7.5.0-ccs
goos: darwin
goarch: arm64
pkg: github.com/faustbrian/golib/pkg/kafka/benchmarks/clients
cpu: Apple M4 Max
BenchmarkEquivalentReplay/10-records/128B/none/golib-policy-16         	       1	  24325334 ns/op	   0.06 MB/s	        10.00 records/op	  156608 B/op	    1311 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/none/golib-policy-16        	       1	  39848917 ns/op	   0.26 MB/s	        10.00 records/op	  165632 B/op	    1309 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/none/golib-policy-16        	       1	  38130375 ns/op	   0.27 MB/s	        10.00 records/op	  164288 B/op	    1298 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/none/golib-policy-16        	       1	  75041083 ns/op	   0.14 MB/s	        10.00 records/op	  164832 B/op	    1304 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/none/golib-policy-16        	       1	  30572167 ns/op	   0.34 MB/s	        10.00 records/op	  164960 B/op	    1303 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/none/golib-policy-16        	       1	  29652459 ns/op	   0.35 MB/s	        10.00 records/op	  164056 B/op	    1304 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/none/golib-policy-16        	       1	  36216625 ns/op	   0.29 MB/s	        10.00 records/op	  164320 B/op	    1299 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/none/golib-policy-16        	       1	  26706875 ns/op	   0.39 MB/s	        10.00 records/op	  164432 B/op	    1301 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/none/golib-policy-16        	       1	  28534333 ns/op	   0.37 MB/s	        10.00 records/op	  164248 B/op	    1305 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/none/golib-policy-16        	       1	  46266084 ns/op	   0.23 MB/s	        10.00 records/op	  165216 B/op	    1307 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/none/golib-policy-16        	       1	  25364667 ns/op	   0.41 MB/s	        10.00 records/op	  165960 B/op	    1307 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/none/golib-policy-16        	       1	  23930625 ns/op	   0.44 MB/s	        10.00 records/op	  165232 B/op	    1309 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/none/golib-policy-16        	       1	  28614083 ns/op	   0.37 MB/s	        10.00 records/op	  164320 B/op	    1299 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/none/golib-policy-16        	       1	  30479375 ns/op	   0.34 MB/s	        10.00 records/op	  165200 B/op	    1306 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/none/golib-policy-16        	       1	  53714959 ns/op	   0.19 MB/s	        10.00 records/op	  165328 B/op	    1308 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/none/golib-policy-16        	       1	  41810833 ns/op	   0.25 MB/s	        10.00 records/op	  165960 B/op	    1307 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/none/golib-policy-16        	       1	  44774542 ns/op	   0.23 MB/s	        10.00 records/op	  165280 B/op	    1305 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/none/raw-franz-go-16        	       1	  48497750 ns/op	   0.22 MB/s	        10.00 records/op	  159856 B/op	    1250 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/none/raw-franz-go-16        	       1	  15506792 ns/op	   0.68 MB/s	        10.00 records/op	  160016 B/op	    1253 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/none/raw-franz-go-16        	       1	  15649875 ns/op	   0.67 MB/s	        10.00 records/op	  159888 B/op	    1251 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/none/raw-franz-go-16        	       1	  41838292 ns/op	   0.25 MB/s	        10.00 records/op	  163872 B/op	    1261 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/none/raw-franz-go-16        	       1	  14819875 ns/op	   0.71 MB/s	        10.00 records/op	  160048 B/op	    1254 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/none/raw-franz-go-16        	       1	  43019292 ns/op	   0.24 MB/s	        10.00 records/op	  158376 B/op	    1245 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/none/raw-franz-go-16        	       1	  18977834 ns/op	   0.55 MB/s	        10.00 records/op	  160632 B/op	    1252 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/none/raw-franz-go-16        	       1	  15751667 ns/op	   0.66 MB/s	        10.00 records/op	  160480 B/op	    1256 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/none/raw-franz-go-16        	       1	  32034875 ns/op	   0.33 MB/s	        10.00 records/op	  158968 B/op	    1251 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/none/raw-franz-go-16        	       1	  23370583 ns/op	   0.45 MB/s	        10.00 records/op	  159552 B/op	    1250 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/none/raw-franz-go-16        	       1	  47157042 ns/op	   0.22 MB/s	        10.00 records/op	  159424 B/op	    1247 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/none/raw-franz-go-16        	       1	  12594167 ns/op	   0.83 MB/s	        10.00 records/op	  158968 B/op	    1251 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/none/raw-franz-go-16        	       1	  37689958 ns/op	   0.28 MB/s	        10.00 records/op	  159568 B/op	    1251 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/none/raw-franz-go-16        	       1	  42907083 ns/op	   0.24 MB/s	        10.00 records/op	  159424 B/op	    1247 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/none/raw-franz-go-16        	       1	  99461709 ns/op	   0.11 MB/s	        10.00 records/op	  159584 B/op	    1250 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/none/raw-franz-go-16        	       1	  50274917 ns/op	   0.21 MB/s	        10.00 records/op	  161064 B/op	    1255 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/none/raw-franz-go-16        	       1	  39472500 ns/op	   0.27 MB/s	        10.00 records/op	  158520 B/op	    1248 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/none/raw-franz-go-16        	       1	  31765292 ns/op	   0.33 MB/s	        10.00 records/op	  160016 B/op	    1253 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/none/raw-franz-go-16        	       1	  31509250 ns/op	   0.33 MB/s	        10.00 records/op	  158824 B/op	    1248 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/none/raw-franz-go-16        	       1	  31352959 ns/op	   0.33 MB/s	        10.00 records/op	  160920 B/op	    1252 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/none/kafka-go-16            	       1	 436030417 ns/op	   0.02 MB/s	        10.00 records/op	  168968 B/op	     806 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/none/kafka-go-16            	       1	 462511417 ns/op	   0.02 MB/s	        10.00 records/op	  162336 B/op	     715 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/none/kafka-go-16            	       1	 428665916 ns/op	   0.02 MB/s	        10.00 records/op	  167624 B/op	     770 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/none/kafka-go-16            	       1	 392127458 ns/op	   0.03 MB/s	        10.00 records/op	   91208 B/op	     672 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/none/kafka-go-16            	       1	 519478000 ns/op	   0.02 MB/s	        10.00 records/op	  233352 B/op	     774 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/none/kafka-go-16            	       1	 493141708 ns/op	   0.02 MB/s	        10.00 records/op	  167608 B/op	     770 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/none/kafka-go-16            	       1	 431539458 ns/op	   0.02 MB/s	        10.00 records/op	  228848 B/op	     746 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/none/kafka-go-16            	       1	 411917333 ns/op	   0.03 MB/s	        10.00 records/op	  299096 B/op	     778 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/none/kafka-go-16            	       1	 425672042 ns/op	   0.02 MB/s	        10.00 records/op	  108464 B/op	     837 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/none/kafka-go-16            	       1	 415860292 ns/op	   0.03 MB/s	        10.00 records/op	  161520 B/op	     704 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/none/kafka-go-16            	       1	 489010875 ns/op	   0.02 MB/s	        10.00 records/op	  173696 B/op	     836 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/none/kafka-go-16            	       1	 415957083 ns/op	   0.03 MB/s	        10.00 records/op	  108464 B/op	     838 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/none/kafka-go-16            	       1	 502510458 ns/op	   0.02 MB/s	        10.00 records/op	  167608 B/op	     770 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/none/kafka-go-16            	       1	 486893417 ns/op	   0.02 MB/s	        10.00 records/op	  239440 B/op	     840 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/none/kafka-go-16            	       1	 410541667 ns/op	   0.03 MB/s	        10.00 records/op	  227920 B/op	     717 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/none/kafka-go-16            	       1	 423274625 ns/op	   0.02 MB/s	        10.00 records/op	  167608 B/op	     770 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/none/kafka-go-16            	       1	 407660166 ns/op	   0.03 MB/s	        10.00 records/op	  155592 B/op	     640 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/none/kafka-go-16            	       1	 432398500 ns/op	   0.02 MB/s	        10.00 records/op	  174048 B/op	     840 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/none/kafka-go-16            	       1	 497079416 ns/op	   0.02 MB/s	        10.00 records/op	  299112 B/op	     778 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/none/kafka-go-16            	       1	 437993125 ns/op	   0.02 MB/s	        10.00 records/op	  102024 B/op	     768 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/none/sarama-16              	       1	 651846083 ns/op	   0.02 MB/s	        10.00 records/op	  253776 B/op	     964 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/none/sarama-16              	       1	 639355917 ns/op	   0.02 MB/s	        10.00 records/op	  254024 B/op	     967 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/none/sarama-16              	       1	 643554459 ns/op	   0.02 MB/s	        10.00 records/op	  253560 B/op	     963 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/none/sarama-16              	       1	 623142875 ns/op	   0.02 MB/s	        10.00 records/op	  253544 B/op	     962 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/none/sarama-16              	       1	 621906708 ns/op	   0.02 MB/s	        10.00 records/op	  254008 B/op	     967 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/none/sarama-16              	       1	 616097708 ns/op	   0.02 MB/s	        10.00 records/op	  254728 B/op	     964 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/none/sarama-16              	       1	 630725417 ns/op	   0.02 MB/s	        10.00 records/op	  254008 B/op	     967 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/none/sarama-16              	       1	 675779542 ns/op	   0.02 MB/s	        10.00 records/op	  253544 B/op	     963 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/none/sarama-16              	       1	 689026875 ns/op	   0.02 MB/s	        10.00 records/op	  254024 B/op	     967 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/none/sarama-16              	       1	 625711084 ns/op	   0.02 MB/s	        10.00 records/op	  254024 B/op	     968 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/none/sarama-16              	       1	 617915083 ns/op	   0.02 MB/s	        10.00 records/op	  253560 B/op	     963 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/none/sarama-16              	       1	 634673583 ns/op	   0.02 MB/s	        10.00 records/op	  253544 B/op	     962 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/none/sarama-16              	       1	 610321875 ns/op	   0.02 MB/s	        10.00 records/op	  253584 B/op	     964 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/none/sarama-16              	       1	 624959542 ns/op	   0.02 MB/s	        10.00 records/op	  253792 B/op	     965 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/none/sarama-16              	       1	 631909084 ns/op	   0.02 MB/s	        10.00 records/op	  253560 B/op	     963 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/none/sarama-16              	       1	 617948917 ns/op	   0.02 MB/s	        10.00 records/op	  253560 B/op	     963 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/none/sarama-16              	       1	 622898792 ns/op	   0.02 MB/s	        10.00 records/op	  253560 B/op	     963 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/none/sarama-16              	       1	 630281917 ns/op	   0.02 MB/s	        10.00 records/op	  253792 B/op	     965 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/none/sarama-16              	       1	 626188791 ns/op	   0.02 MB/s	        10.00 records/op	  253560 B/op	     963 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/none/sarama-16              	       1	 612765292 ns/op	   0.02 MB/s	        10.00 records/op	  253872 B/op	     966 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/snappy/golib-policy-16      	       1	  17879292 ns/op	   0.59 MB/s	        10.00 records/op	  184704 B/op	    1305 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/snappy/golib-policy-16      	       1	  38184083 ns/op	   0.27 MB/s	        10.00 records/op	  185136 B/op	    1307 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/snappy/golib-policy-16      	       1	  29575583 ns/op	   0.35 MB/s	        10.00 records/op	  184992 B/op	    1305 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/snappy/golib-policy-16      	       1	  35436875 ns/op	   0.30 MB/s	        10.00 records/op	  176432 B/op	    1302 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/snappy/golib-policy-16      	       1	  38468459 ns/op	   0.27 MB/s	        10.00 records/op	  185752 B/op	    1307 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/snappy/golib-policy-16      	       1	  25833750 ns/op	   0.41 MB/s	        10.00 records/op	  185152 B/op	    1308 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/snappy/golib-policy-16      	       1	  37179334 ns/op	   0.28 MB/s	        10.00 records/op	  177800 B/op	    1304 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/snappy/golib-policy-16      	       1	  21288334 ns/op	   0.49 MB/s	        10.00 records/op	  176432 B/op	    1302 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/snappy/golib-policy-16      	       1	  16946000 ns/op	   0.62 MB/s	        10.00 records/op	  184880 B/op	    1305 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/snappy/golib-policy-16      	       1	  16675209 ns/op	   0.63 MB/s	        10.00 records/op	  185008 B/op	    1305 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/snappy/golib-policy-16      	       1	  26112458 ns/op	   0.40 MB/s	        10.00 records/op	  186024 B/op	    1306 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/snappy/golib-policy-16      	       1	  22539917 ns/op	   0.46 MB/s	        10.00 records/op	  184688 B/op	    1304 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/snappy/golib-policy-16      	       1	  15159875 ns/op	   0.69 MB/s	        10.00 records/op	  176896 B/op	    1305 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/snappy/golib-policy-16      	       1	  16683291 ns/op	   0.63 MB/s	        10.00 records/op	  185736 B/op	    1306 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/snappy/golib-policy-16      	       1	  13845750 ns/op	   0.76 MB/s	        10.00 records/op	  183624 B/op	    1302 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/snappy/golib-policy-16      	       1	  27531958 ns/op	   0.38 MB/s	        10.00 records/op	  176448 B/op	    1302 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/snappy/golib-policy-16      	       1	  19052417 ns/op	   0.55 MB/s	        10.00 records/op	  186000 B/op	    1313 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/snappy/golib-policy-16      	       1	  19469083 ns/op	   0.54 MB/s	        10.00 records/op	  184688 B/op	    1304 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/snappy/golib-policy-16      	       1	  22353166 ns/op	   0.47 MB/s	        10.00 records/op	  177696 B/op	    1313 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/snappy/golib-policy-16      	       1	  29067625 ns/op	   0.36 MB/s	        10.00 records/op	  184976 B/op	    1304 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/snappy/raw-franz-go-16      	       1	  17248208 ns/op	   0.61 MB/s	        10.00 records/op	  179176 B/op	    1253 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/snappy/raw-franz-go-16      	       1	  15465208 ns/op	   0.68 MB/s	        10.00 records/op	  171080 B/op	    1254 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/snappy/raw-franz-go-16      	       1	  18552584 ns/op	   0.56 MB/s	        10.00 records/op	  171600 B/op	    1252 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/snappy/raw-franz-go-16      	       1	  49573292 ns/op	   0.21 MB/s	        10.00 records/op	  180112 B/op	    1253 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/snappy/raw-franz-go-16      	       1	  10055042 ns/op	   1.04 MB/s	        10.00 records/op	  172464 B/op	    1257 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/snappy/raw-franz-go-16      	       1	  20530166 ns/op	   0.51 MB/s	        10.00 records/op	  180856 B/op	    1255 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/snappy/raw-franz-go-16      	       1	  20524458 ns/op	   0.51 MB/s	        10.00 records/op	  180560 B/op	    1256 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/snappy/raw-franz-go-16      	       1	  73332375 ns/op	   0.14 MB/s	        10.00 records/op	  180112 B/op	    1253 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/snappy/raw-franz-go-16      	       1	  18565500 ns/op	   0.56 MB/s	        10.00 records/op	  179824 B/op	    1254 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/snappy/raw-franz-go-16      	       1	  24055459 ns/op	   0.44 MB/s	        10.00 records/op	  173888 B/op	    1260 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/snappy/raw-franz-go-16      	       1	  14699208 ns/op	   0.71 MB/s	        10.00 records/op	  175016 B/op	    1261 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/snappy/raw-franz-go-16      	       1	  10689000 ns/op	   0.98 MB/s	        10.00 records/op	  171680 B/op	    1252 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/snappy/raw-franz-go-16      	       1	   9613750 ns/op	   1.09 MB/s	        10.00 records/op	  180256 B/op	    1256 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/snappy/raw-franz-go-16      	       1	  54143667 ns/op	   0.19 MB/s	        10.00 records/op	  180808 B/op	    1253 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/snappy/raw-franz-go-16      	       1	  24336500 ns/op	   0.43 MB/s	        10.00 records/op	  180304 B/op	    1257 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/snappy/raw-franz-go-16      	       1	  21136375 ns/op	   0.50 MB/s	        10.00 records/op	  179984 B/op	    1255 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/snappy/raw-franz-go-16      	       1	  16504959 ns/op	   0.63 MB/s	        10.00 records/op	  171568 B/op	    1251 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/snappy/raw-franz-go-16      	       1	  12318208 ns/op	   0.85 MB/s	        10.00 records/op	  180736 B/op	    1261 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/snappy/raw-franz-go-16      	       1	  14843708 ns/op	   0.71 MB/s	        10.00 records/op	  179640 B/op	    1251 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/snappy/raw-franz-go-16      	       1	   9232375 ns/op	   1.13 MB/s	        10.00 records/op	  181304 B/op	    1258 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/snappy/kafka-go-16          	       1	 389679125 ns/op	   0.03 MB/s	        10.00 records/op	  395928 B/op	     762 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/snappy/kafka-go-16          	       1	 438497959 ns/op	   0.02 MB/s	        10.00 records/op	  198696 B/op	     750 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/snappy/kafka-go-16          	       1	 395824208 ns/op	   0.03 MB/s	        10.00 records/op	  279304 B/op	     912 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/snappy/kafka-go-16          	       1	 401787417 ns/op	   0.03 MB/s	        10.00 records/op	  206120 B/op	     829 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/snappy/kafka-go-16          	       1	 427097125 ns/op	   0.02 MB/s	        10.00 records/op	  167688 B/op	     795 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/snappy/kafka-go-16          	       1	 406622042 ns/op	   0.03 MB/s	        10.00 records/op	  100232 B/op	     746 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/snappy/kafka-go-16          	       1	 391010333 ns/op	   0.03 MB/s	        10.00 records/op	  271880 B/op	     833 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/snappy/kafka-go-16          	       1	 401836250 ns/op	   0.03 MB/s	        10.00 records/op	  271864 B/op	     833 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/snappy/kafka-go-16          	       1	 393333792 ns/op	   0.03 MB/s	        10.00 records/op	  279640 B/op	     916 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/snappy/kafka-go-16          	       1	 392024459 ns/op	   0.03 MB/s	        10.00 records/op	  100248 B/op	     746 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/snappy/kafka-go-16          	       1	 404833750 ns/op	   0.03 MB/s	        10.00 records/op	  264440 B/op	     754 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/snappy/kafka-go-16          	       1	 403098541 ns/op	   0.03 MB/s	        10.00 records/op	  206120 B/op	     829 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/snappy/kafka-go-16          	       1	 397261291 ns/op	   0.03 MB/s	        10.00 records/op	  198696 B/op	     750 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/snappy/kafka-go-16          	       1	 387742875 ns/op	   0.03 MB/s	        10.00 records/op	  337960 B/op	     841 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/snappy/kafka-go-16          	       1	 389800792 ns/op	   0.03 MB/s	        10.00 records/op	  199368 B/op	     756 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/snappy/kafka-go-16          	       1	 391189667 ns/op	   0.03 MB/s	        10.00 records/op	   92808 B/op	     667 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/snappy/kafka-go-16          	       1	 392031583 ns/op	   0.03 MB/s	        10.00 records/op	  206120 B/op	     829 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/snappy/kafka-go-16          	       1	 396945333 ns/op	   0.03 MB/s	        10.00 records/op	  107656 B/op	     825 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/snappy/kafka-go-16          	       1	 388089583 ns/op	   0.03 MB/s	        10.00 records/op	  191272 B/op	     671 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/snappy/kafka-go-16          	       1	 386783625 ns/op	   0.03 MB/s	        10.00 records/op	  279288 B/op	     912 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/snappy/sarama-16            	       1	 611947875 ns/op	   0.02 MB/s	        10.00 records/op	  255584 B/op	     980 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/snappy/sarama-16            	       1	 608097625 ns/op	   0.02 MB/s	        10.00 records/op	  255584 B/op	     979 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/snappy/sarama-16            	       1	 612328291 ns/op	   0.02 MB/s	        10.00 records/op	  255304 B/op	     976 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/snappy/sarama-16            	       1	 622240916 ns/op	   0.02 MB/s	        10.00 records/op	  255616 B/op	     980 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/snappy/sarama-16            	       1	 634133708 ns/op	   0.02 MB/s	        10.00 records/op	  255520 B/op	     977 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/snappy/sarama-16            	       1	 649644000 ns/op	   0.02 MB/s	        10.00 records/op	  255304 B/op	     976 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/snappy/sarama-16            	       1	 615244916 ns/op	   0.02 MB/s	        10.00 records/op	  256096 B/op	     983 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/snappy/sarama-16            	       1	 627882416 ns/op	   0.02 MB/s	        10.00 records/op	  255640 B/op	     979 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/snappy/sarama-16            	       1	 618488792 ns/op	   0.02 MB/s	        10.00 records/op	  255448 B/op	     977 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/snappy/sarama-16            	       1	 630352541 ns/op	   0.02 MB/s	        10.00 records/op	  255304 B/op	     976 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/snappy/sarama-16            	       1	 625755542 ns/op	   0.02 MB/s	        10.00 records/op	  255552 B/op	     980 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/snappy/sarama-16            	       1	 614940333 ns/op	   0.02 MB/s	        10.00 records/op	  255512 B/op	     977 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/snappy/sarama-16            	       1	 615544125 ns/op	   0.02 MB/s	        10.00 records/op	  255536 B/op	     979 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/snappy/sarama-16            	       1	 608252958 ns/op	   0.02 MB/s	        10.00 records/op	  255288 B/op	     975 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/snappy/sarama-16            	       1	 614006125 ns/op	   0.02 MB/s	        10.00 records/op	  255304 B/op	     976 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/snappy/sarama-16            	       1	 610731625 ns/op	   0.02 MB/s	        10.00 records/op	  255304 B/op	     976 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/snappy/sarama-16            	       1	 613242250 ns/op	   0.02 MB/s	        10.00 records/op	  255536 B/op	     979 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/snappy/sarama-16            	       1	 611586750 ns/op	   0.02 MB/s	        10.00 records/op	  255288 B/op	     975 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/snappy/sarama-16            	       1	 625013083 ns/op	   0.02 MB/s	        10.00 records/op	  255336 B/op	     976 allocs/op
BenchmarkEquivalentReplay/10-records/1024B/snappy/sarama-16            	       1	 612062958 ns/op	   0.02 MB/s	        10.00 records/op	  255536 B/op	     978 allocs/op
BenchmarkEquivalentReplay/100-records/128B/none/golib-policy-16        	       1	  13462750 ns/op	   1.12 MB/s	       100.0 records/op	  208800 B/op	    1493 allocs/op
BenchmarkEquivalentReplay/100-records/128B/none/golib-policy-16        	       1	  18169000 ns/op	   0.83 MB/s	       100.0 records/op	  209656 B/op	    1508 allocs/op
BenchmarkEquivalentReplay/100-records/128B/none/golib-policy-16        	       1	  33340375 ns/op	   0.45 MB/s	       100.0 records/op	  208400 B/op	    1492 allocs/op
BenchmarkEquivalentReplay/100-records/128B/none/golib-policy-16        	       1	  18963375 ns/op	   0.80 MB/s	       100.0 records/op	  207288 B/op	    1488 allocs/op
BenchmarkEquivalentReplay/100-records/128B/none/golib-policy-16        	       1	  27958083 ns/op	   0.54 MB/s	       100.0 records/op	  210320 B/op	    1524 allocs/op
BenchmarkEquivalentReplay/100-records/128B/none/golib-policy-16        	       1	  26533208 ns/op	   0.57 MB/s	       100.0 records/op	  207992 B/op	    1491 allocs/op
BenchmarkEquivalentReplay/100-records/128B/none/golib-policy-16        	       1	  16535791 ns/op	   0.91 MB/s	       100.0 records/op	  207720 B/op	    1491 allocs/op
